MC HotDog	SPK0002
S.H.E	SPK0003
万能青年旅店	SPK0005
五月天	SPK0006
信乐团	SPK0007
光良	SPK0008
刀郎	SPK0102
刘宇宁	SPK0009
刘德华	SPK0010
刘柏辛	SPK0011
刘欢	SPK0012
华晨宇	SPK0014
单依纯	SPK0015
卫兰	SPK0017
古巨基	SPK0018
后弦	SPK0081
吴亦凡	SPK0019
吴青峰	SPK0020
周兴哲	SPK0021
周杰伦	SPK0000
周深	SPK0022
周笔畅	SPK0023
品冠	SPK0024
大张伟	SPK0082
孙悦	SPK0105
孙楠	SPK0025
屠洪刚	SPK0125
崔健	SPK0106
张信哲	SPK0028
张敬轩	SPK0032
张智成	SPK0033
张杰	SPK0078
张碧晨	SPK0035
张艺兴	SPK0036
张靓颖	SPK0038
张韶涵	SPK0039
戴佩妮	SPK0041
新裤子	SPK0042
易烊千玺	SPK0044
朴树	SPK0045
李佳薇	SPK0046
李健	SPK0047
李克勤	SPK0048
李宇春	SPK0049
李泉	SPK0107
李玲玉	SPK0108
杨坤	SPK0053
杨钰莹	SPK0109
林依轮	SPK0110
梅艳芳	SPK0059
毛不易	SPK0060
毛宁	SPK0111
毛阿敏	SPK0112
汪峰	SPK0061
汪苏泷	SPK0062
沙宝亮	SPK0113
满文军	SPK0114
潘玮柏	SPK0063
王俊凯	SPK0064
王源	SPK0067
王铮亮	SPK0115
田震	SPK0116
窦唯	SPK0117
胡夏	SPK0118
胡彦斌	SPK0079
腾格尔	SPK0119
艾怡良	SPK0072
萧敬腾	SPK0074
蔡徐坤	SPK0077
袁娅维	SPK0079
许嵩	SPK0080
谢安琪	SPK0081
那英	SPK0086
郑钧	SPK0121
陈楚生	SPK0122
韦唯	SPK0123
韩磊	SPK0124
韩红	SPK0094
飞儿乐团	SPK0095
鹿晗	SPK0097
黄义达	SPK0098
黄子韬	SPK0099
黎明	SPK0101
